date,monthly_rainfall_mm,year,month,month_of_year,season
2004-11-01,0.2368073668500347,2004,11,11,autumn
2004-12-01,1.4605887043544696,2004,12,12,winter
2005-01-01,16.02276319094579,2005,1,1,winter
2005-02-01,55.32519806974025,2005,2,2,winter
2005-03-01,43.90620238922094,2005,3,3,spring
2005-04-01,8.544479320633332,2005,4,4,spring
2005-05-01,8.084009529322664,2005,5,5,spring
2005-06-01,51.52664196342862,2005,6,6,monsoon
2005-07-01,239.6436107814264,2005,7,7,monsoon
2005-08-01,74.83989493236737,2005,8,8,monsoon
2005-09-01,222.14315146509514,2005,9,9,monsoon
2005-10-01,1.5167213364559806,2005,10,10,autumn
2005-11-01,5.139242152305797,2005,11,11,autumn
2005-12-01,0.4005332992908123,2005,12,12,winter
2006-01-01,4.076566114069066,2006,1,1,winter
2006-02-01,2.8588676279138423,2006,2,2,winter
2006-03-01,42.29768951143554,2006,3,3,spring
2006-04-01,3.336360494411659,2006,4,4,spring
2006-05-01,49.411652158784555,2006,5,5,spring
2006-06-01,74.80575117096141,2006,6,6,monsoon
2006-07-01,253.57459625699562,2006,7,7,monsoon
2006-08-01,58.11405492964924,2006,8,8,monsoon
2006-09-01,78.90817015520685,2006,9,9,monsoon
2006-10-01,12.802365355190704,2006,10,10,autumn
2006-11-01,0.2737457919919593,2006,11,11,autumn
2006-12-01,5.345311734109266,2006,12,12,winter
2007-01-01,9.275130068564373,2007,1,1,winter
2007-02-01,97.04156577403478,2007,2,2,winter
2007-03-01,60.69177768156192,2007,3,3,spring
2007-04-01,3.5157589282545874,2007,4,4,spring
2007-05-01,54.52920708635992,2007,5,5,spring
2007-06-01,92.65905439914886,2007,6,6,monsoon
2007-07-01,191.4233573146943,2007,7,7,monsoon
2007-08-01,196.42698604997491,2007,8,8,monsoon
2007-09-01,84.76181317773222,2007,9,9,monsoon
2007-10-01,1.6390900003676934,2007,10,10,autumn
2007-11-01,0.7961657278391129,2007,11,11,autumn
2007-12-01,2.319801330489612,2007,12,12,winter
2008-01-01,4.82483555498849,2008,1,1,winter
2008-02-01,3.5520384571599593,2008,2,2,winter
2008-03-01,7.561483595540112,2008,3,3,spring
2008-04-01,32.21618971045096,2008,4,4,spring
2008-05-01,138.69280874275572,2008,5,5,spring
2008-06-01,146.55084805977856,2008,6,6,monsoon
2008-07-01,210.71562899452155,2008,7,7,monsoon
2008-08-01,219.43389548220281,2008,8,8,monsoon
2008-09-01,149.4006118708184,2008,9,9,monsoon
2008-10-01,4.440276035632066,2008,10,10,autumn
2008-11-01,2.903088113670555,2008,11,11,autumn
2008-12-01,1.2290718988782123,2008,12,12,winter
2009-01-01,6.167337111220095,2009,1,1,winter
2009-02-01,12.967844395669049,2009,2,2,winter
2009-03-01,11.058529955763337,2009,3,3,spring
2009-04-01,11.411192381722907,2009,4,4,spring
2009-05-01,31.989187392678875,2009,5,5,spring
2009-06-01,12.826883832249006,2009,6,6,monsoon
2009-07-01,127.00129381832986,2009,7,7,monsoon
2009-08-01,121.61098490514254,2009,8,8,monsoon
2009-09-01,165.08757633889346,2009,9,9,monsoon
2009-10-01,14.875136982590258,2009,10,10,autumn
2009-11-01,7.319771449305284,2009,11,11,autumn
2009-12-01,2.3220573124398034,2009,12,12,winter
2010-01-01,10.237183835360161,2010,1,1,winter
2010-02-01,21.372418463475004,2010,2,2,winter
2010-03-01,1.9090433713155182,2010,3,3,spring
2010-04-01,2.351347486428716,2010,4,4,spring
2010-05-01,5.096644615481332,2010,5,5,spring
2010-06-01,23.96326216051513,2010,6,6,monsoon
2010-07-01,276.0937423986486,2010,7,7,monsoon
2010-08-01,316.2435934187561,2010,8,8,monsoon
2010-09-01,296.82291053050056,2010,9,9,monsoon
2010-10-01,4.115815325395776,2010,10,10,autumn
2010-11-01,28.752099901536873,2010,11,11,autumn
2010-12-01,8.8618978638944,2010,12,12,winter
2011-01-01,4.799231387414092,2011,1,1,winter
2011-02-01,50.479361474044666,2011,2,2,winter
2011-03-01,13.370944795484833,2011,3,3,spring
2011-04-01,13.776320024101235,2011,4,4,spring
2011-05-01,40.16291460229649,2011,5,5,spring
2011-06-01,129.13625072729215,2011,6,6,monsoon
2011-07-01,143.06794029390014,2011,7,7,monsoon
2011-08-01,174.78079470883503,2011,8,8,monsoon
2011-09-01,198.38563911202496,2011,9,9,monsoon
2011-10-01,3.365872111404735,2011,10,10,autumn
2011-11-01,0.028346458039297837,2011,11,11,autumn
2011-12-01,0.9624054766929961,2011,12,12,winter
2012-01-01,12.091477220026528,2012,1,1,winter
2012-02-01,2.976265006415952,2012,2,2,winter
2012-03-01,8.671303945595177,2012,3,3,spring
2012-04-01,28.289295489558526,2012,4,4,spring
2012-05-01,3.7613112676305502,2012,5,5,spring
2012-06-01,6.336730350857086,2012,6,6,monsoon
2012-07-01,117.95701428581033,2012,7,7,monsoon
2012-08-01,294.54038492083725,2012,8,8,monsoon
2012-09-01,110.50795635964494,2012,9,9,monsoon
2012-10-01,6.050038316144489,2012,10,10,autumn
2012-11-01,1.111333730710332,2012,11,11,autumn
2012-12-01,12.972121665331228,2012,12,12,winter
2013-01-01,48.91679211333923,2013,1,1,winter
2013-02-01,125.99944178170844,2013,2,2,winter
2013-03-01,10.957483956772945,2013,3,3,spring
2013-04-01,10.24985624757206,2013,4,4,spring
2013-05-01,2.0485016634576088,2013,5,5,spring
2013-06-01,92.4577182051826,2013,6,6,monsoon
2013-07-01,229.05096437459756,2013,7,7,monsoon
2013-08-01,262.3073819623329,2013,8,8,monsoon
2013-09-01,80.08818095926257,2013,9,9,monsoon
2013-10-01,51.39166200016388,2013,10,10,autumn
2013-11-01,2.491988176091865,2013,11,11,autumn
2013-12-01,1.6736816763342224,2013,12,12,winter
2014-01-01,28.356163860278695,2014,1,1,winter
2014-02-01,64.38931611828183,2014,2,2,winter
2014-03-01,49.50406250242919,2014,3,3,spring
2014-04-01,14.53827039032246,2014,4,4,spring
2014-05-01,32.8306676811405,2014,5,5,spring
2014-06-01,16.41171881018533,2014,6,6,monsoon
2014-07-01,88.9396909482906,2014,7,7,monsoon
2014-08-01,98.5496760209265,2014,8,8,monsoon
2014-09-01,82.18686335665876,2014,9,9,monsoon
2014-10-01,13.786178277620627,2014,10,10,autumn
2014-11-01,0.3143815850602078,2014,11,11,autumn
2014-12-01,13.74020987767684,2014,12,12,winter
2015-01-01,32.702355918285605,2015,1,1,winter
2015-02-01,9.421212402731944,2015,2,2,winter
2015-03-01,126.80449089796065,2015,3,3,spring
2015-04-01,42.5592428002141,2015,4,4,spring
2015-05-01,11.367538479427578,2015,5,5,spring
2015-06-01,102.76103989083462,2015,6,6,monsoon
2015-07-01,228.9899922059895,2015,7,7,monsoon
2015-08-01,183.2891943078405,2015,8,8,monsoon
2015-09-01,50.103238737250265,2015,9,9,monsoon
2015-10-01,5.21909817161905,2015,10,10,autumn
2015-11-01,2.221399805431441,2015,11,11,autumn
2015-12-01,1.0606739865278,2015,12,12,winter
2016-01-01,3.18549081085622,2016,1,1,winter
2016-02-01,5.259582199559931,2016,2,2,winter
2016-03-01,33.40007194730333,2016,3,3,spring
2016-04-01,0.36319852968779076,2016,4,4,spring
2016-05-01,44.939501477924956,2016,5,5,spring
2016-06-01,43.942444495156764,2016,6,6,monsoon
2016-07-01,281.1182673454238,2016,7,7,monsoon
2016-08-01,143.43305790393453,2016,8,8,monsoon
2016-09-01,27.480793515254994,2016,9,9,monsoon
2016-10-01,14.284567819496973,2016,10,10,autumn
2016-11-01,0.0,2016,11,11,autumn
2016-12-01,0.0,2016,12,12,winter
2017-01-01,55.29404468326666,2017,1,1,winter
2017-02-01,2.399068905346068,2017,2,2,winter
2017-03-01,13.955219187293917,2017,3,3,spring
2017-04-01,14.360386264470971,2017,4,4,spring
2017-05-01,27.18229064182115,2017,5,5,spring
2017-06-01,148.14821425478647,2017,6,6,monsoon
2017-07-01,115.52092079397819,2017,7,7,monsoon
2017-08-01,99.46487565957844,2017,8,8,monsoon
2017-09-01,109.44633175045632,2017,9,9,monsoon
2017-10-01,5.761988606895236,2017,10,10,autumn
2017-11-01,0.25997751353298265,2017,11,11,autumn
2017-12-01,4.5468649823243545,2017,12,12,winter
2018-01-01,7.862947927207161,2018,1,1,winter
2018-02-01,3.7172805322783713,2018,2,2,winter
2018-03-01,0.8601101738785497,2018,3,3,spring
2018-04-01,16.933399274126856,2018,4,4,spring
2018-05-01,13.747571997878698,2018,5,5,spring
2018-06-01,56.448314782692464,2018,6,6,monsoon
2018-07-01,276.77667261948767,2018,7,7,monsoon
2018-08-01,121.41727355985284,2018,8,8,monsoon
2018-09-01,195.03658935954573,2018,9,9,monsoon
2018-10-01,9.659398518465723,2018,10,10,autumn
2018-11-01,3.6143670466742583,2018,11,11,autumn
2018-12-01,2.1131609404115608,2018,12,12,winter
2019-01-01,38.04066928987217,2019,1,1,winter
2019-02-01,32.20304419252816,2019,2,2,winter
2019-03-01,15.02287944461986,2019,3,3,spring
2019-04-01,16.556268170226,2019,4,4,spring
2019-05-01,23.735700571204923,2019,5,5,spring
2019-06-01,12.640207910968286,2019,6,6,monsoon
2019-07-01,180.31736802154637,2019,7,7,monsoon
2019-08-01,142.7789562184134,2019,8,8,monsoon
2019-09-01,57.068662035448945,2019,9,9,monsoon
2019-10-01,31.38048558837615,2019,10,10,autumn
2019-11-01,22.501453466463104,2019,11,11,autumn
2019-12-01,24.03667949043001,2019,12,12,winter
2020-01-01,40.58353363764906,2020,1,1,winter
2020-02-01,22.302851723843105,2020,2,2,winter
2020-03-01,91.44459169090372,2020,3,3,spring
2020-04-01,11.444503887631509,2020,4,4,spring
2020-05-01,51.147906879975125,2020,5,5,spring
2020-06-01,40.10803113601643,2020,6,6,monsoon
2020-07-01,221.20625903157273,2020,7,7,monsoon
2020-08-01,166.01526186649517,2020,8,8,monsoon
2020-09-01,35.90568962668872,2020,9,9,monsoon
2020-10-01,5.799309316385342,2020,10,10,autumn
2020-11-01,4.205980515957895,2020,11,11,autumn
2020-12-01,0.5999327284731353,2020,12,12,winter
2021-01-01,48.56455650380079,2021,1,1,winter
2021-02-01,6.001813355284895,2021,2,2,winter
2021-03-01,4.721375862005806,2021,3,3,spring
2021-04-01,4.597619433004626,2021,4,4,spring
2021-05-01,107.17388324946094,2021,5,5,spring
2021-06-01,37.28140234554398,2021,6,6,monsoon
2021-07-01,334.5674195074246,2021,7,7,monsoon
2021-08-01,165.79714668064702,2021,8,8,monsoon
2021-09-01,252.82047460625716,2021,9,9,monsoon
2021-10-01,78.25122626126033,2021,10,10,autumn
2021-11-01,0.0,2021,11,11,autumn
2021-12-01,2.077307854213129,2021,12,12,winter
2022-01-01,93.96894762528788,2022,1,1,winter
2022-02-01,26.14148144944816,2022,2,2,winter
2022-03-01,0.12507341524276627,2022,3,3,spring
2022-04-01,1.1024952798803234,2022,4,4,spring
2022-05-01,42.94738707699849,2022,5,5,spring
2022-06-01,43.912947571379064,2022,6,6,monsoon
2022-07-01,215.70329478709118,2022,7,7,monsoon
2022-08-01,55.98430148269626,2022,8,8,monsoon
2022-09-01,229.34805816278757,2022,9,9,monsoon
2022-10-01,85.65846633491067,2022,10,10,autumn
2022-11-01,0.16453857088582957,2022,11,11,autumn
2022-12-01,0.0,2022,12,12,winter
2023-01-01,27.58499489690165,2023,1,1,winter
2023-02-01,1.8738241107258857,2023,2,2,winter
2023-03-01,78.94287774231623,2023,3,3,spring
2023-04-01,18.8410043274213,2023,4,4,spring
2023-05-01,72.8456703210312,2023,5,5,spring
2023-06-01,108.62658476511201,2023,6,6,monsoon
2023-07-01,254.7511863007361,2023,7,7,monsoon
2023-08-01,91.3084448062045,2023,8,8,monsoon
2023-09-01,78.82695720505585,2023,9,9,monsoon
2023-10-01,16.550783606263334,2023,10,10,autumn
2023-11-01,7.212630067341859,2023,11,11,autumn
2023-12-01,0.5596283331919509,2023,12,12,winter
2024-01-01,15.689448317115609,2024,1,1,winter
2024-02-01,11.94806301946542,2024,2,2,winter
2024-03-01,17.719671624103906,2024,3,3,spring
2024-04-01,8.232809112558899,2024,4,4,spring
2024-05-01,1.3368737351919278,2024,5,5,spring
2024-06-01,45.172293473979046,2024,6,6,monsoon
2024-07-01,199.5018125809674,2024,7,7,monsoon
2024-08-01,195.68690353736048,2024,8,8,monsoon
2024-09-01,187.0937003615714,2024,9,9,monsoon
2024-10-01,5.470482178751786,2024,10,10,autumn
